PHRASE,SYNONYMS-OF,CATEGORY,DISEASE
allergy relief aisle,,medication,allergy
allergy relief med,,medication,allergy
allergy relief meds,,medication,allergy
allergy relief options,,medication,allergy
allergy reliever,,medication,allergy
allergy reliever zyrtec,,medication,allergy
ambien,,medication,insomnia
amiodorone,,medication,heart disease
amlodipine,,medication,"heart disease, hypertension"
amoxicillin,,medication,infection
anemia drugs,,medication,anemia
anti migraine medicine,,medication,migraine
anticoagulant,,medication,blood thinners
antidepressant,,medication,antidepressant
antidepressant,,medication,antidepressant
antidepressant meds,,medication,antidepressant
antidepressants,,medication,antidepressant
anti-epileptic,,medication,"pain, seizures"
antihistamine,,medication,allergy
antihistamines,,medication,allergy
anxiety medication,,medication,anxiety
anxiety medications,,medication,anxiety
anxiety meds,,medication,anxiety
arikayce,,medication,infection
aspirin,,medication,inflammation
asthma drug qvar,,medication,asthma
asthma inhaler ventolin hfa,,medication,asthma
asthma medication,,medication,asthma
asthma medications,,medication,"asthma, copd"
asthma meds,,medication,asthma
asthma meds,,medication,"asthma, copd"
asthma prescriptions,,medication,"asthma, copd"
asthma relief,,medication,"asthma, copd"
asthma treatment qvar,,medication,asthma
astrid,,medication,eating disorder
atorvastatin,,medication,cholesterol 
benadryl,,medication,allergy
benzodiazepines,,medication,mental health
beta blocker,,medication,"heart disease, hypertension"
beta blockers,,medication,"heart disease, hypertension"
beta-blockers,,medication,"heart disease, hypertension"
birth,,medication,birth control
birth birth control medications,,medication,birth control
birth control implant,,medication,birth control
birth control implant essure,,medication,birth control
birth control medications,,medication,birth control
birth control package,,medication,birth control
birth control packaging errors,,medication,birth control
birth control pills,,medication,birth control
birth control subscription options,,medication,birth control
birth control taytulla,,medication,birth control
blockbuster cancer drug,,medication,cancer
blood glucose meters,,medication,diabetes
blood monitoring,,medication,diabetes
botox,,medication,migraine
brain medicine,,medication,brain
bydureon,,medication,diabetes
cancer drug,,medication,cancer
cancer drugs,,medication,cancer
cancer medications,,medication,cancer
cancer meds,,medication,cancer
cancer treatments,,medication,cancer
cannabis,,medication,cannabis
cannabis-derived medication,,medication,cannabis
carvedilol,,medication,"heart disease, hypertension"
cbd,,medication,cannabis 
c-braces,,medication,orthosis 
chantix,,medication,smoking
chemo,,medication,cancer
chemo,,medication,cancer
cholesterol drug,,medication,cholesterol 
cholesterol medicines,,medication,cholesterol
cholesterol treatment,,medication,cholesterol 
cholesterol treatment ellazor,,medication,cholesterol 
cialis,,medication,erectile dysfunction
cinryze,,medication,hereditary angioedema
clarinex,,medication,allergy 
claritin,,medication,allergy 
clopidogrel,,medication,"heart disease, hypertension"
combination meds,,medication,cancer
common antibiotic,,medication,infection
contraception,,medication,birth control
contraceptives,,medication,birth control
contrave,,medication,weight loss
contrave,,medication,weight loss
control pills,,medication,birth control
coreg,,medication,"heart disease, hypertension"
cough medication,,medication,cough
cough medicine,,medication,cough
creams,,medication,cream
crestor,,medication,cholesterol 
crestor),,medication,cholesterol
cymbalta,,medication,antidepressant
day glucose monitoring system,,medication,diabetes
decongestants,,medication,allergy
depressants,,medication,antidepressant
dexilant,,medication,heartburn
diabetes drug,,medication,diabetes
diabetes medication,,medication,diabetes
diabetes medication,,medication,diabetes
diabetes medications,,medication,diabetes
diabetes medicine,,medication,diabetes
diabetes meds,,medication,diabetes
diabetes meds,,medication,diabetes
diabetes test strips,,medication,diabetes
dialysis,,medication,kidney
diazepam,,medication,anxiety
divalproex,,medication,seizure
drug adherence,,medication,
drug interactions,,medication,
drug overdose deaths,,medication,drug overdose
dysfunction drugs,,medication,erectile dysfunction
dysfunction medications,,medication,erectile dysfunction
dysfunction meds,,medication,erectile dysfunction
eliquis,,medication,anticoagulant 
ellipta,,medication,"asthma, copd"
emergency contraception,,medication,birth control
epilepsy drug,,medication,epilepsy
epilepsy drug epidiolex,,medication,epilepsy
epilepsy medication,,medication,epilepsy
epinephrine,,medication,vasoconstrictor
epipen,,medication,asthma
epipen,,medication,allergy
erectile dysfunction drugs,,medication,erectile dysfunction
estrogen,,medication,birth control
eyedrops,,medication,eyedrops
flu medicines,,medication,"vaccine, flu"
flu meds,,medication,"flu, vaccine"
flu meds,,medication,"vaccine, flu"
flu products,,medication,"vaccine, flu"
flu shot,,medication,"vaccine, flu"
flu shot day,,medication,"vaccine, flu"
flu shots,,medication,"vaccine, flu"
flu treatment,,medication,"vaccine, flu"
flu treatment options,,medication,"vaccine, flu"
flu treatment tamiflu,,medication,"vaccine, flu"
flu vaccine,,medication,"vaccine, flu"
flu vaccine options,,medication,"vaccine, flu"
flu vaccines,,medication,"vaccine, flu"
fluoxetine,,medication,OCD
flushot,,medication,"flu, vaccine"
flushot,,medication,"vaccine, flu"
gabapentin,,medication,"pain, seizures"
glucagon,,medication,low blood sugar
glucose monitor,,medication,diabetes
hair loss meds,,medication,hair loss
headache med,,medication,pain
heart medications,,medication,heart disease
heart medicine,,medication,heart disease
heart medicines,,medication,heart disease
heartburn drug,,medication,heartburn
heartburn treatments,,medication,heartburn
hepatitis drug,,medication,hepatitis
hiv drugs,,medication,"aids, hiv"
hiv medications,,medication,"aids, hiv"
hiv prevention drug,,medication,"aids, hiv"
hiv prevention drug truvada,,medication,"aids, hiv"
hiv treatments,,medication,"aids, hiv"
hiv vaccine,,medication,"aids, hiv"
hooch prednisone,,medication,inflammation
hormone-free treatment,,medication,thyroid
humalog,,medication,diabetes
humalog,,medication,diabetes
humalog insulin,,medication,diabetes
humira,,medication,arthritis
hydrocodone-acetamin,,medication,pain
hydrocodone-acetmtamin,,medication,pain
hypertension drug,,medication,"heart disease, hypertension"
hypertension medications,,medication,"heart disease, hypertension"
ibuprofen,,medication,pain
imitrex,,medication,migraine 
infant antibiotics,,medication,antibiotics
influenza vaccination week,,medication,vaccine
inhaler symbicort,,medication,asthma
insulin,,medication,diabetes
januvia,,medication,diabetes
jardiance,,medication,diabetes
ketamine,,medication,"antidepressant, anesthesia"
kratom,,medication,seizures 
lamotrigine,,medication,seizures
lantus,,medication,diabetes
lasix,,medication,fluid retention
latuda,,medication,schizophrenia
levalbuterol,,medication,bronchospasm
levemir,,medication,diabetes
levothyroxine,,medication,hypothyroidism
levothyroxine,,medication,thyroid 
lipitor,,medication,cholesterol 
lomotil,,medication,diarrhea
lorazepam,,medication,epilepsy
lyrica,,medication,pain
maintenance inhaler,,medication,asthma
marijuana,,medication,cannabis 
marinol,,medication,nausea 
max solostar,,medication,diabetes
mealtime insulin humalog,,medication,diabetes
medication,,medication,
medx,,medication,exercise
meloxicam,,medication,inflammation
mentalhealth,,medication,mental health
metformin,,medication,diabetes
migraine medications,,medication,migraine
mucinex,,medication,guaifenesin
namzaric,,medication,alzheimers 
naproxen,,medication,pain
nerve pain medication,,medication,pain
nerve pain medicines,,medication,pain
neurontin,,medication,"pain, seizures"
nsaid,,medication,inflammatory 
nsaids,,medication,inflammation
nsaids ibuprofen,,medication,"pain, inflamation"
ointment,,medication,skin
opioid,,medication,pain
opioids,,medication,pain
opioids,,medication,pain
pain medication,,medication,pain
pain medications,,medication,pain
pain relief options,,medication,pain
pain reliever,,medication,pain
pain relievers,,medication,pain
paxil,,medication,antidepressant 
pcp,,medication,mind altering
penicillin,,medication,antibiotics
pens cost,,medication,diabetes
perles,,medication,cough
plavix,,medication,"heart disease, hypertension"
prednisone,,medication,inflammation
prescription cream,,medication,"skin, cream"
prescription pain relievers,,medication,pain
prescription skin creams,,medication,"skin, nail"
prescriptions drug solutions,,medication,"skin, cream"
procrit,,medication,anemia
progesterone,,medication,menopause
proton-pump inhibitors,,medication,
prozac,,medication,antidepressant 
qvar,,medication,"asthma, copd"
qvar redihaler,,medication,"asthma, copd"
retacrit,,medication,anemia
retacrit,,medication,anemia
ritalin,,medication,attention deficit
sanofi,,medication,diabetes
seizure medication,,medication,seizure
shingles pain relief,,medication,"pain, seizures"
sildenafil,,medication,erectile dysfunction
singulair,,medication,allergy
skin creams,,medication,"skin, cream"
sleep aid,,medication,"sleep, insomnia"
sleep medication,,medication,"sleep, insomnia"
sleep supplements,,medication,"sleep, insomnia"
solostar pens,,medication,diabetes
specialty drugs,,medication,
spironolactone,,medication,"heart disease, hypertension"
spray flu vaccine,,medication,"vaccine, flu"
sprays,,medication,
statins,,medication,cholesterol 
stimulants,,medication,erectile dysfunction
sudafed,,medication,sinus
summer diabetes med,,medication,diabetes
synthroid,,medication,hypothyroidism
tadalafil,,medication,erectile dysfunction
tamiflu,,medication,vaccine
taytulla,,medication,birth control 
thc,,medication,cannabis
thyroid med,,medication,thyroid
thyroid medication,,medication,thyroid
thyroid meds,,medication,thyroid
thyroid pill,,medication,thyroid
topamax,,medication,seizures
travel ailments,,medication,travel
travel meds,,medication,travel
treat cancers,,medication,cancer
treatment cream,,medication,cream
treseba,,medication,diabetes
truvada,,medication,"aids, hiv"
tylenol,,medication,pain
uloric,,medication,gout
uloric,,medication,gout
urea,,medication,"skin, nail"
vaccinations,,medication,vaccine
vaccine,,medication,vaccine
vaccine options,,medication,vaccine
vaccines,,medication,vaccine
valsartan,,medication,"heart disease, hypertension"
ventolin,,medication,bronchospasm
ventolin,,medication,bronchospasm
ventolin,,medication,bronchospasm
viagra,,medication,erectile dysfuntion
viagra,,medication,erectile dysfunction
viagra,,medication,erectile dysfunction
warfarin,,medication,"heart disease, hypertension"
weight loss drugs,,medication,weight loss
weight loss medication,,medication,weight loss
weight loss medications,,medication,weight loss
xanax,,medication,anxiety 
xarelto,,medication,"heart disease, hypertension"
yeast infection treatments,,medication,yeast infection
zantac,,medication,"heartburn, ulcer"
zolgensma,,medication,spinal
zoloft,,medication,antidepressant 
z-packs,,medication,antibiotic
z-pak,,medication,infections
z-paks,,medication,antibiotic 
zyrtec,,medication,allergy 
drug errors,,medication-,
overdose,,medication-,
side effect,,medication-,
drug interaction issues,,medication ,
transplant anti rejection,,medication                                               ,
#cancer patients,cancer,patients,
cancer patient,"cancer, patients",patients,
consumer guidance,consumer guidance,patients,
customers information,consumer guidance,patients,
healthcare consumer,"consumer, health",patients,
dementia sufferers,dementia,patients,
diabetes patient,"diabete, patient",patients,
patients health,"patients, health",patients,
sleep apnea sufferers,sleep apnea,patients,
#patients,,patients,
community health center patients,,patients,
patient,,patients,
patient solutions,,patients,
patients,,patients,
patients thousands,,patients,
pharmacy patients,,patients,
race patients,,patients,
sufferer,,patients,
sufferers,,patients,
abomination,christian,religion,
bible,christian,religion,
christian,christian,religion,
church,christian,religion,
churches,christian,religion,
eternity,christian,religion,
faith,christian,religion,
god,christian,religion,
heaven,christian,religion,
jesus,christian,religion,
jesus christ,christian,religion,
prayers,christian,religion,
breast cancer survivors,cancer,segment,
blink,blinkhealth,service,
blink health representative,blinkhealth,service,
coverage options,coverage options,service,
coverage today,coverage options,service,
consumer experience,customer care,service,
consumer healthcare,customer care,service,
consumer reports,customer care,service,
consumer review,customer care,service,
customer care,customer care,service,
customer care team,customer care,service,
customer experience,customer care,service,
customer experience team,customer care,service,
customer service,customer care,service,
customer service person,customer care,service,
customer service representative,customer care,service,
customer service specialists,customer care,service,
customer service team,customer care,service,
customer support team,customer care,service,
drug delivery,delivery,service,
home delivery experience,delivery,service,
home delivery service,delivery,service,
mail delivery,delivery,service,
mail delivery process,delivery,service,
mail order,delivery,service,
mail order places,delivery,service,
mail pharmacy,delivery,service,
prescription drug delivery,delivery,service,
rx delivery,delivery,service,
shipping methods,delivery,service,
shipping time,delivery,service,
disability entrance,disability care,service,
disability rights advocate,disability care,service,
clinician,doctor,service,
goodrx cigna,goodrx,service,
goodrx february,goodrx,service,
health app,health care,service,
health app today,health care,service,
healthcare,health care,service,
data-driven healthcare,healthcare,service,
drug list,healthcare service,service,
ehrs,healthcare service,service,
health care information market,healthcare service,service,
health care shopping platform,healthcare service,service,
health data,healthcare service,service,
health data analytics,healthcare service,service,
health equity,healthcare service,service,
health healthcare ecosystem,healthcare service,service,
health services,healthcare service,service,
health site,healthcare service,service,
health site category,healthcare service,service,
health website,healthcare service,service,
healthcare access,healthcare service,service,
healthcare consumer solution,healthcare service,service,
healthcare delivery,healthcare service,service,
healthcare disparity,healthcare service,service,
healthcare sector,healthcare service,service,
healthcare service,healthcare service,service,
hiv status,healthcare service,service,
med coverage,healthcare service,service,
medication discount program,healthcare service,service,
medication optimization,healthcare service,service,
medication optimization #api,healthcare service,service,
medication optimization api,healthcare service,service,
medication synchronization,healthcare service,service,
medication therapy management,healthcare service,service,
patients access,healthcare service,service,
pill reminder app,healthcare service,service,
prescription decision support platform,healthcare service,service,
provider notes,healthcare service,service,
quality guidelines,healthcare service,service,
quality transparency,healthcare service,service,
reminders app,healthcare service,service,
savings program information,healthcare service,service,
self-pay prices,healthcare service,service,
service expectation,healthcare service,service,
service questions,healthcare service,service,
subscription service,healthcare service,service,
technology expertise,healthcare service,service,
tele-health,healthcare service,service,
telemedicine,healthcare service,service,
telemedicine apps,healthcare service,service,
telemedicine service,healthcare service,service,
text message reminders,healthcare service,service,
therapy,healthcare service,service,
time delivery,healthcare service,service,
tips,healthcare service,service,
transparency solutions,healthcare service,service,
packaging materials,packaging,service,
payment method,payment,service,
payment methods,payment,service,
payments,payment,service,
pharmacy lines,pharmacy,service,
prescription policies,prescription,service,
prescription transfers,prescription,service,
ingredient quality issues,service issue,service,
limits consumer choice,service issue,service,
medigap plan,service issue,service,
rebates limit consumer choice,service issue,service,
refund request,service issue,service,
rehab rating,service issue,service,
shipments,shipments,service,
shipping,shipments,service,
shipping box,shipments,service,
shipping department,shipments,service,
treatment drug trials,treatments,service,
treatment options,treatments,service,
treatments,treatments,service,
cord injury,injury,service-,
med errors,medication mistakes,service-,
medication mistakes,medication mistakes,service-,
misdiagnosis,medication mistakes,service-,
prescription medicine mistakes,medication mistakes,service-,
apologies,service issue,service-,
chaos,service issue,service-,
corruption,service issue,service-,
delivery problems,service issue,service-,
denied,service issue,service-,
disappointment,service issue,service-,
dissatisfaction,service issue,service-,
drug shortage,service issue,service-,
drug shortages,service issue,service-,
error,service issue,service-,
errors,service issue,service-,
face barriers,service issue,service-,
frustration,service issue,service-,
hassle,service issue,service-,
inconvenience,service issue,service-,
inconveniences,service issue,service-,
limitations,service issue,service-,
misinformation,service issue,service-,
myths,service issue,service-,
nightmares,service issue,service-,
pressure,service issue,service-,
problem,service issue,service-,
problems,service issue,service-,
rabbit hole,service issue,service-,
restrictions,service issue,service-,
risk,service issue,service-,
risks,service issue,service-,
scam,service issue,service-,
scams,service issue,service-,
shame,service issue,service-,
shortage,service issue,service-,
spam,service issue,service-,
supply shortages,service issue,service-,
treatment scams,service issue,service-,
uncertainty,service issue,service-,
wait,service issue,service-,
waste,service issue,service-,
worries,service issue,service-,
hipaa-compliant,healthcare guidelines,service ,
care services,healthcare service,service ,
healthcare solutions,healthcare service,service ,
smartwatch,,service ,
home delivery,delivery,service+,
support group,health support,service+,
support staff,health support,service+,
support team,health support,service+,
#caregiving,healthcare service,service+,
access,healthcare service,service+,
accountability,healthcare service,service+,
advantage,healthcare service,service+,
advocate,healthcare service,service+,
advocate team,healthcare service,service+,
answer,healthcare service,service+,
answers,healthcare service,service+,
assistance,healthcare service,service+,
assistance program,healthcare service,service+,
assistance programs,healthcare service,service+,
availability,healthcare service,service+,
benefits,healthcare service,service+,
best service,healthcare service,service+,
bravo,healthcare service,service+,
breakthrough technology,healthcare service,service+,
care,healthcare service,service+,
care solutions,healthcare service,service+,
chat feature,healthcare service,service+,
chat functionality,healthcare service,service+,
choice,healthcare service,service+,
choices,healthcare service,service+,
coaching,healthcare service,service+,
commitment,healthcare service,service+,
competence,healthcare service,service+,
congrats,healthcare service,service+,
congratulations,healthcare service,service+,
convenience,healthcare service,service+,
customer care team members,healthcare service,service+,
disruptor,healthcare service,service+,
effectiveness,healthcare service,service+,
employee values,healthcare service,service+,
experience,healthcare service,service+,
experts,healthcare service,service+,
friendships,healthcare service,service+,
gift,healthcare service,service+,
gifts,healthcare service,service+,
godsend,healthcare service,service+,
health centers,healthcare service,service+,
health solutions,healthcare service,service+,
healthcare innovation,healthcare service,service+,
healthcare services,healthcare service,service+,
help desk,healthcare service,service+,
holistic environment,healthcare service,service+,
hope,healthcare service,service+,
impact,healthcare service,service+,
improvement,healthcare service,service+,
inclusion,healthcare service,service+,
innovation,healthcare service,service+,
innovators,healthcare service,service+,
kick ass,healthcare service,service+,
kind feedback,healthcare service,service+,
kind note,healthcare service,service+,
kind words,healthcare service,service+,
kudos,healthcare service,service+,
life changer,healthcare service,service+,
lifesaver,healthcare service,service+,
lifetime,healthcare service,service+,
love,healthcare service,service+,
luxury,healthcare service,service+,
medication thanks,healthcare service,service+,
medication therapies,healthcare service,service+,
model health care,healthcare service,service+,
nurses association,healthcare service,service+,
opportunity,healthcare service,service+,
perks,healthcare service,service+,
pharmacy care,healthcare service,service+,
praises,healthcare service,service+,
privacy,healthcare service,service+,
professional,healthcare service,service+,
proof,healthcare service,service+,
quality,healthcare service,service+,
quickcare,healthcare service,service+,
relationships,healthcare service,service+,
resolution,healthcare service,service+,
resources,healthcare service,service+,
revolution,healthcare service,service+,
rewards,healthcare service,service+,
safety measure,healthcare service,service+,
safety standards,healthcare service,service+,
satisfaction,healthcare service,service+,
saviours,healthcare service,service+,
security,healthcare service,service+,
shout,healthcare service,service+,
shoutout,healthcare service,service+,
solution,healthcare service,service+,
solutions,healthcare service,service+,
strength,healthcare service,service+,
support,healthcare service,service+,
technology solutions,healthcare service,service+,
testimonial,healthcare service,service+,
thank you,healthcare service,service+,
thanks,healthcare service,service+,
thanks,healthcare service,service+,
thanks,healthcare service,service+,
thnx,healthcare service,service+,
thx,healthcare service,service+,
treatment accuracy,healthcare service,service+,
truth,healthcare service,service+,
upgrade,healthcare service,service+,
vision,healthcare service,service+,
wellness consultant,healthcare service,service+,
quality care,quality,service+,
quality control,quality,service+,
quality product,quality,service+,
quantity discrepancy,service issue,service+,
shipment,shipment,service+,
shipment today,shipment,service+,
consumer enablement,consumer empowerment,transparency,
customers privacy,consumer empowerment,transparency,
cost transparency,cost transparency,transparency,
cost/qual transparency,cost transparency,transparency,
cost/quality transparency,cost transparency,transparency,
medication pricing transparency,cost transparency,transparency,
transparency healthcare costs,cost transparency,transparency,
drug price transparency,drug price transparency,transparency,
drug pricing transparency,drug price transparency,transparency,
drug pricing transparency law,drug price transparency,transparency,
drug transparency,drug price transparency,transparency,
health care cost transparency,healthcare transparency,transparency,
health care pricing transparency,healthcare transparency,transparency,
health costs /price transparency,healthcare transparency,transparency,
health price transparency,healthcare transparency,transparency,
healthcare price transparency,healthcare transparency,transparency,
healthcare transparency,healthcare transparency,transparency,
healthcare transparency,healthcare transparency,transparency,
healthcare transparency consumer payments,healthcare transparency,transparency,
healthcare transparency shopping,healthcare transparency,transparency,
medication transparency,medication transparency,transparency,
medication value transparency,medication transparency,transparency,
price transparency,price transparency,transparency,
price transparency manifesto part,price transparency,transparency,
price transparency map,price transparency,transparency,
price transparency panel,price transparency,transparency,
price transparency solution,price transparency,transparency,
price transparency tools,price transparency,transparency,
price transparency/empowering,price transparency,transparency,
price-disclosure requirement,price transparency,transparency,
price-transparency movement,price transparency,transparency,
pricing transparency,price transparency,transparency,
pricing transparency hype,price transparency,transparency,